name,description
seed-database,Seed the database
kill-server,Stop the server with a non-zero access code
upload-template,Upload Excel submission template
migrate-database,Run database migrations
change-submission-owner,"Change submission's owner"
create-submission,Create a new submission
delete-submission,Delete a submission
update-submission,Update a submission
update-users,Update user objects
assign-role,Assign role to user
assign-permission,Assign permission to role
view-users,View users
view-permissions,View permissions
view-roles,View roles
view-/access,"View the /access route on the UI"
view-/deployments,"View the /deployments route on the UI"
validate-submission,Validate submissions
view-submission-templates,View Excel template submissions
attach-file-to-submission,Upload file attachment for a submission
