role,permission
sysadmin,upload-project-file
sysadmin,kill-server
sysadmin,view-submission-templates
sysadmin,validate-submission
sysadmin,upload-template
sysadmin,seed-database
sysadmin,migrate-database
sysadmin,change-project-owner
sysadmin,create-project
sysadmin,delete-project
sysadmin,update-project
sysadmin,update-users
sysadmin,view-users
sysadmin,assign-role
sysadmin,assign-permission
sysadmin,view-permissions
sysadmin,view-roles
sysadmin,view-/access
sysadmin,view-/deployments
admin,upload-project-file
admin,view-submission-templates
admin,validate-submission
admin,upload-template
admin,change-project-owner
admin,create-project
admin,delete-project
admin,update-project
admin,update-users
admin,view-users
admin,assign-role
admin,assign-permission
admin,view-permissions
admin,view-roles
admin,view-/access
admin,view-/deployments
dffe,upload-project-file
dffe,create-project
dffe,delete-project
dffe,update-project
public,upload-project-file
public,create-project
