parent,term,tree
,Adaptation policies,adaptationPolicies
Adaptation policie,National Climate Change Adaptation Strategy (NCCAS),adaptationPolicies
Adaptation policie,Nationally Determined Contribution (NDC),adaptationPolicies
Adaptation policie,Sustainable Development Goals (Goal 13),adaptationPolicies
Adaptation policie,National Disaster Management Act (NDMA),adaptationPolicies
Adaptation policie,Other policy and legislation (please indicate),adaptationPolicies

National Climate Change Adaptation Strategy (NCCAS),"Integrated Development Plan (IDP)",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Roads and Storm Water Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Infrastructure Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Land Use Management System",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Energy and Electricity Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Water Resource Management Plan or Water Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Climate Change Response Strategy or Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Environmental Management framework",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Biodiversity Sector & Management Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Air Quality Management Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Integrated Transport Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Integrated Waste Management Plans",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Rural Development Strategy or Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Upgrading of Informal Settlements Plans",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Spatial Development Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Just Transition Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Green Economic Development  Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Tourism Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Agriculture Master Plan",adaptationPolicies
National Climate Change Adaptation Strategy (NCCAS),"Human Settlement Master Plan",adaptationPolicies

Nationally Determined Contribution (NDC),"Integrated Development Plan (IDP)",adaptationPolicies
Nationally Determined Contribution (NDC),"Roads and Storm Water Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Infrastructure Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Land Use Management System",adaptationPolicies
Nationally Determined Contribution (NDC),"Energy and Electricity Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Water Resource Management Plan or Water Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Climate Change Response Strategy or Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Environmental Management framework",adaptationPolicies
Nationally Determined Contribution (NDC),"Biodiversity Sector & Management Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Air Quality Management Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Integrated Transport Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Integrated Waste Management Plans",adaptationPolicies
Nationally Determined Contribution (NDC),"Rural Development Strategy or Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Upgrading of Informal Settlements Plans",adaptationPolicies
Nationally Determined Contribution (NDC),"Spatial Development Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Just Transition Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Green Economic Development  Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Tourism Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Agriculture Master Plan",adaptationPolicies
Nationally Determined Contribution (NDC),"Human Settlement Master Plan",adaptationPolicies

Sustainable Development Goals (Goal 13),"Integrated Development Plan (IDP)",adaptationPolicies
Sustainable Development Goals (Goal 13),"Roads and Storm Water Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Infrastructure Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Land Use Management System",adaptationPolicies
Sustainable Development Goals (Goal 13),"Energy and Electricity Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Water Resource Management Plan or Water Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Climate Change Response Strategy or Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Environmental Management framework",adaptationPolicies
Sustainable Development Goals (Goal 13),"Biodiversity Sector & Management Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Air Quality Management Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Integrated Transport Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Integrated Waste Management Plans",adaptationPolicies
Sustainable Development Goals (Goal 13),"Rural Development Strategy or Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Upgrading of Informal Settlements Plans",adaptationPolicies
Sustainable Development Goals (Goal 13),"Spatial Development Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Just Transition Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Green Economic Development  Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Tourism Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Agriculture Master Plan",adaptationPolicies
Sustainable Development Goals (Goal 13),"Human Settlement Master Plan",adaptationPolicies

National Disaster Management Act (NDMA),"Integrated Development Plan (IDP)",adaptationPolicies
National Disaster Management Act (NDMA),"Roads and Storm Water Master Plan",adaptationPolicies
National Disaster Management Act (NDMA),"Infrastructure Master Plan",adaptationPolicies
National Disaster Management Act (NDMA),"Land Use Management System",adaptationPolicies
