parent,term,tree
,National policy,mitigationPolicies
National policy,"National Energy Efficiency Strategy (NEES), 2005",mitigationPolicies
National policy,"Integrated Resource Plan, 2010 (and draft 2018 plan)",mitigationPolicies
National policy,"Green Transport Strategy, 2018",mitigationPolicies
National policy,"National Energy Efficiency Strategy, 2008",mitigationPolicies
National policy,"Biofuels Industirial Strategy (2007)",mitigationPolicies
National policy,"SANS 941 for Energy Efficiency of Electrical and Electronic Equipment, 2014",mitigationPolicies
National policy,"National Climate Change Response Policy, 2011",mitigationPolicies
National policy,"Integrated Energy Plan, 2016",mitigationPolicies
National policy,"National Energy Efficiency Strategy, 2008",mitigationPolicies
National policy,"DAFF Strategic Plan (2015/16 to 2018/19) (Forestry)",mitigationPolicies
National policy,"Draft climate change sector plan for DAFF",mitigationPolicies
National policy,"Draft climate change sector plan for DAFF / land degredation neutrality targets",mitigationPolicies
National policy,"DAFF draft Conservation Agriculture Policy ",mitigationPolicies
National policy,"Draft Conservation agriculture policy ",mitigationPolicies
National policy,"National Pollution Prevention Plans Regulations, 2017",mitigationPolicies
National policy,"DAFF Agroforestry Strategic Framework for SA",mitigationPolicies
National policy,"Draft Climate Change Bill, 2018",mitigationPolicies
National policy,"National Environmental Management: Biodiversity Act, 1998",mitigationPolicies
National policy,"National Climate Change Response Policy, 2011",mitigationPolicies
National policy,"Draft Climate Change Adaptation and Mitigation Plan for South African Agriculture, Forestry, and Fisheries, 2018 ",mitigationPolicies
National policy,"National Waste Management Strategy, 2011",mitigationPolicies

,Regional policy,mitigationPolicies
Regional policy,"Integrated Development Plan (IDP)",mitigationPolicies
Regional policy,"Roads and Storm Water Master Plan",mitigationPolicies
Regional policy,"Infrastructure Master Plan",mitigationPolicies
Regional policy,"Land Use Management System",mitigationPolicies
Regional policy,"Energy and Electricity Master Plan",mitigationPolicies
Regional policy,"Water Resource Management Plan or Water Master Plan",mitigationPolicies
Regional policy,"Climate Change Response Strategy or Plan",mitigationPolicies
Regional policy,"Environmental Management framework",mitigationPolicies
Regional policy,"Biodiversity Sector & Management Plan",mitigationPolicies
Regional policy,"Air Quality Management Plan",mitigationPolicies
Regional policy,"Integrated Transport Plan",mitigationPolicies
Regional policy,"Integrated Waste Management Plans",mitigationPolicies
Regional policy,"Rural Development Strategy or Plan",mitigationPolicies
Regional policy,"Upgrading of Informal Settlements Plans",mitigationPolicies
Regional policy,"Spatial Development Plan",mitigationPolicies
Regional policy,"Just Transition Plan",mitigationPolicies
Regional policy,"Green Economic Development  Plan",mitigationPolicies
Regional policy,"Tourism Master Plan",mitigationPolicies
Regional policy,"Agriculture Master Plan",mitigationPolicies
Regional policy,"Human Settlement Master Plan",mitigationPolicies
