parent,term,tree
,South Africa,regions
South Africa,Eastern Cape,regions
South Africa,Free State,regions
South Africa,Gauteng,regions
South Africa,KwaZulu-Natal,regions
South Africa,Limpopo,regions
South Africa,Mpumalanga,regions
South Africa,North West,regions
South Africa,Northern Cape,regions
South Africa,Western Cape,regions
Western Cape,Cape Winelands District Municipality (DC2),regions
Western Cape,Central Karoo District Municipality (DC5),regions
Western Cape,City of Cape Town (CPT),regions
Western Cape,Eden District Municipality (DC4),regions
Western Cape,Overberg District Municipality (DC3),regions
Western Cape,West Coast District Municipality (DC1),regions
Eastern Cape,Alfred Nzo District Municipality (DC44),regions
Eastern Cape,Amathole District Municipality (DC12),regions
Eastern Cape,Buffalo City (BUF),regions
Eastern Cape,Cacadu District Municipality (DC10),regions
Eastern Cape,Chris Hani District Municipality (DC13),regions
Eastern Cape,Joe Gqabi District Municipality (DC14),regions
Eastern Cape,Nelson Mandela Bay (NMA),regions
Eastern Cape,O.R.Tambo District Municipality (DC15),regions
Northern Cape,Frances Baard District Municipality (DC9),regions
Northern Cape,John Taolo Gaetsewe District Municipality (DC45),regions
Northern Cape,Namakwa District Municipality (DC6),regions
Northern Cape,Pixley ka Seme District Municipality (DC7),regions
Northern Cape,Z F Mgcawu District Municipality (DC8),regions
Free State,Fezile Dabi District Municipality (DC20),regions
Free State,Lejweleputswa District Municipality (DC18),regions
Free State,Mangaung (MAN),regions
Free State,Thabo Mofutsanyane District Municipality (DC19),regions
Free State,Xhariep District Municipality (DC16),regions
KwaZulu-Natal,Amajuba District Municipality (DC25),regions
KwaZulu-Natal,eThekwini (ETH),regions
KwaZulu-Natal,Harry Gwala District Municipality (DC43),regions
KwaZulu-Natal,iLembe District Municipality (DC29),regions
KwaZulu-Natal,Ugu District Municipality (DC21),regions
KwaZulu-Natal,Umgungundlovu District Municipality (DC22),regions
KwaZulu-Natal,Umkhanyakude District Municipality (DC27),regions
KwaZulu-Natal,Umzinyathi District Municipality (DC24),regions
KwaZulu-Natal,Uthukela District Municipality (DC23),regions
KwaZulu-Natal,Uthungulu District Municipality (DC28),regions
KwaZulu-Natal,Zululand District Municipality (DC26),regions
North West,Bojanala District Municipality (DC37),regions
North West,Dr Kenneth Kaunda District Municipality (DC40),regions
North West,Dr Ruth Segomotsi Mompati District Municipality (DC39),regions
North West,Ngaka Modiri Molema District Municipality (DC38),regions
Gauteng,City of Johannesburg (JHB),regions
Gauteng,City of Tshwane (TSH),regions
Gauteng,Ekurhuleni (EKU),regions
Gauteng,Sedibeng District Municipality (DC42),regions
Gauteng,West Rand District Municipality (DC48),regions
Mpumalanga,Ehlanzeni District Municipality (DC32),regions
Mpumalanga,Gert Sibande District Municipality (DC30),regions
Mpumalanga,Nkangala District Municipality (DC31),regions
Limpopo,Capricorn District Municipality (DC35),regions
Limpopo,Mopani District Municipality (DC33),regions
Limpopo,Sekhukhune District Municipality (DC47),regions
Limpopo,Vhembe District Municipality (DC34),regions
Limpopo,Waterberg District Municipality (DC36),regions
Alfred Nzo District Municipality (DC44),Matatiele Local Municipality (EC441),regions
Alfred Nzo District Municipality (DC44),Mbizana Local Municipality (EC443),regions
Alfred Nzo District Municipality (DC44),Ntabankulu Local Municipality (EC444),regions
Alfred Nzo District Municipality (DC44),Umzimvubu Local Municipality (EC442),regions
Amajuba District Municipality (DC25),Dannhauser Local Municipality (KZN254),regions
Amajuba District Municipality (DC25),Emadlangeni Local Municipality (KZN253),regions
Amajuba District Municipality (DC25),Newcastle Local Municipality (KZN252),regions
Amathole District Municipality (DC12),Amahlathi Local Municipality (EC124),regions
Amathole District Municipality (DC12),Great Kei Local Municipality (EC123),regions
Amathole District Municipality (DC12),Mbhashe Local Municipality (EC121),regions
Amathole District Municipality (DC12),Mnquma Local Municipality (EC122),regions
Amathole District Municipality (DC12),Ngqushwa Local Municipality (EC126),regions
Amathole District Municipality (DC12),Raymond Mhlaba Local Municipality (EC129),regions
Bojanala District Municipality (DC37),Kgetlengrivier Local Municipality (NW374),regions
Bojanala District Municipality (DC37),Local Municipality of Madibeng (NW372),regions
Bojanala District Municipality (DC37),Moretele Local Municipality (NW371),regions
Bojanala District Municipality (DC37),Moses Kotane Local Municipality (NW375),regions
Bojanala District Municipality (DC37),Rustenburg Local Municipality (NW373),regions
Buffalo City (BUF),Buffalo City Metropolitan Municipality (BUF),regions
Cacadu District Municipality (DC10),Blue Crane Route Local Municipality (EC102),regions
Cacadu District Municipality (DC10),Dr Beyers Naude Local Municipality (EC101),regions
Cacadu District Municipality (DC10),Kouga Local Municipality (EC108),regions
Cacadu District Municipality (DC10),Kou-Kamma Local Municipality (EC109),regions
Cacadu District Municipality (DC10),Makana Local Municipality (EC104),regions
Cacadu District Municipality (DC10),Ndlambe Local Municipality (EC105),regions
Cacadu District Municipality (DC10),Sundays River Valley Local Municipality (EC106),regions
Cape Winelands District Municipality (DC2),Breede Valley Local Municipality (WC025),regions
Cape Winelands District Municipality (DC2),Drakenstein Local Municipality (WC023),regions
Cape Winelands District Municipality (DC2),Langeberg Local Municipality (WC026),regions
Cape Winelands District Municipality (DC2),Stellenbosch Local Municipality (WC024),regions
Cape Winelands District Municipality (DC2),Witzenberg Local Municipality (WC022),regions
Capricorn District Municipality (DC35),Blouberg Local Municipality (LIM351),regions
Capricorn District Municipality (DC35),Lepele-Nkumpi Local Municipality (LIM355),regions
Capricorn District Municipality (DC35),Molemole Local Municipality (LIM353),regions
Capricorn District Municipality (DC35),Polokwane Local Municipality (LIM354),regions
Central Karoo District Municipality (DC5),Beaufort West Local Municipality (WC053),regions
Central Karoo District Municipality (DC5),Laingsburg Local Municipality (WC051),regions
Central Karoo District Municipality (DC5),Prince Albert Local Municipality (WC052),regions
Chris Hani District Municipality (DC13),Emalahleni Local Municipality (EC136),regions
Chris Hani District Municipality (DC13),Engcobo Local Municipality (EC137),regions
Chris Hani District Municipality (DC13),Enoch Mgijima Local Municipality (EC139),regions
Chris Hani District Municipality (DC13),Intsika Yethu Local Municipality (EC135),regions
Chris Hani District Municipality (DC13),Inxuba Yethemba Local Municipality (EC131),regions
Chris Hani District Municipality (DC13),Sakhisizwe Local Municipality (EC138),regions
City of Cape Town (CPT),City of Cape Town Metropolitan Municipality (CPT),regions
City of Johannesburg (JHB),City of Johannesburg Metropolitan Municipality (JHB),regions
City of Tshwane (TSH),City of Tshwane Metropolitan Municipality (TSH),regions
Dr Kenneth Kaunda District Municipality (DC40),City of Matlosana Local Municipality (NW403),regions
Dr Kenneth Kaunda District Municipality (DC40),Maquassi Hills Local Municipality (NW404),regions
Dr Kenneth Kaunda District Municipality (DC40),Ventersdorp/Tlokwe Local Municipality (NW405),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Greater Taung Local Municipality (NW394),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Kagisano/Molopo Local Municipality (NW397),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Lekwa-Teemane Local Municipality (NW396),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Mamusa Local Municipality (NW393),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Naledi Local Municipality (NW392),regions
Eden District Municipality (DC4),Bitou Local Municipality (WC047),regions
Eden District Municipality (DC4),George Local Municipality (WC044),regions
Eden District Municipality (DC4),Hessequa Local Municipality (WC042),regions
Eden District Municipality (DC4),Kannaland Local Municipality (WC041),regions
Eden District Municipality (DC4),Knysna Local Municipality (WC048),regions
Eden District Municipality (DC4),Mossel Bay Local Municipality (WC043),regions
Eden District Municipality (DC4),Oudtshoorn Local Municipality (WC045),regions
Ehlanzeni District Municipality (DC32),Bushbuckridge Local Municipality (MP325),regions
Ehlanzeni District Municipality (DC32),City of Mbombela Local Municipality (MP326),regions
Ehlanzeni District Municipality (DC32),Nkomazi Local Municipality (MP324),regions
Ehlanzeni District Municipality (DC32),Thaba Chweu Local Municipality (MP321),regions
Ekurhuleni (EKU),Ekurhuleni Metropolitan Municipality (EKU),regions
eThekwini (ETH),Ethekwini Metropolitan Municipality (ETH),regions
Fezile Dabi District Municipality (DC20),Mafube Local Municipality (FS205),regions
Fezile Dabi District Municipality (DC20),Metsimaholo Local Municipality (FS204),regions
Fezile Dabi District Municipality (DC20),Moqhaka Local Municipality (FS201),regions
Fezile Dabi District Municipality (DC20),Ngwathe Local Municipality (FS203),regions
Frances Baard District Municipality (DC9),Dikgatlong Local Municipality (NC092),regions
Frances Baard District Municipality (DC9),Magareng Local Municipality (NC093),regions
Frances Baard District Municipality (DC9),Phokwane Local Municipality (NC094),regions
Frances Baard District Municipality (DC9),Sol Plaatjie Local Municipality (NC091),regions
