parent,term,tree
,South Africa,districts
South Africa,Eastern Cape,districts
South Africa,Free State,districts
South Africa,Gauteng,districts
South Africa,KwaZulu-Natal,districts
South Africa,Limpopo,districts
South Africa,Mpumalanga,districts
South Africa,North West,districts
South Africa,Northern Cape,districts
South Africa,Western Cape,districts
Eastern Cape,Alfred Nzo District Municipality,districts
Eastern Cape,Amathole District Municipality,districts
Eastern Cape,Buffalo City Metropolitan Municipality,districts
Eastern Cape,Chris Hani District Municipality,districts
Eastern Cape,Joe Gqabi District Municipality,districts
Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,districts
Eastern Cape,OR Tambo District Municipality,districts
Eastern Cape,Sarah Baartman District Municipality,districts
Free State,Fezile Dabi District Municipality,districts
Free State,Lejweleputswa District Municipality,districts
Free State,Mangaung Metropolitan Municipality,districts
Free State,Thabo Mofutsanyana District Municipality,districts
Free State,Xhariep District Municipality,districts
Gauteng,City of Johannesburg Metropolitan Municipality,districts
Gauteng,City of Tshwane Metropolitan Municipality,districts
Gauteng,Ekurhuleni Metropolitan Municipality,districts
Gauteng,Sedibeng District Municipality,districts
Gauteng,West Rand District Municipality,districts
KwaZulu-Natal,Amajuba District Municipality,districts
KwaZulu-Natal,eThekwini Metropolitan Municipality,districts
KwaZulu-Natal,Harry Gwala District Municipality,districts
KwaZulu-Natal,iLembe District Municipality,districts
KwaZulu-Natal,King Cetshwayo District Municipality,districts
KwaZulu-Natal,Ugu District Municipality,districts
KwaZulu-Natal,uMgungundlovu District Municipality,districts
KwaZulu-Natal,uMkhanyakude District Municipality,districts
KwaZulu-Natal,uMzinyathi District Municipality,districts
KwaZulu-Natal,uThukela District Municipality,districts
KwaZulu-Natal,Zululand District Municipality,districts
Limpopo,Capricorn District Municipality,districts
Limpopo,Mopani District Municipality,districts
Limpopo,Sekhukhune District Municipality,districts
Limpopo,Vhembe District Municipality,districts
Limpopo,Waterberg District Municipality,districts
Mpumalanga,Ehlanzeni District Municipality,districts
Mpumalanga,Gert Sibande District Municipality,districts
Mpumalanga,Nkangala District Municipality,districts
North West,Bojanala Platinum District Municipality,districts
North West,Dr Kenneth Kaunda District Municipality,districts
North West,Dr Ruth Segomotsi Mompati District Municipality,districts
North West,Ngaka Modiri Molema District Municipality,districts
Northern Cape,Frances Baard District Municipality,districts
Northern Cape,John Taolo Gaetsewe District Municipality,districts
Northern Cape,Namakwa District Municipality,districts
Northern Cape,Pixley ka Seme District Municipality,districts
Northern Cape,ZF Mgcawu District Municipality,districts
Western Cape,Cape Winelands District Municipality,districts
Western Cape,Central Karoo District Municipality,districts
Western Cape,City of Cape Town Metropolitan Municipality,districts
Western Cape,Garden Route District Municipality,districts
Western Cape,Overberg District Municipality,districts
Western Cape,West Coast District Municipality,districts
