parent,term,tree
,hostSector,mitigationSector
hostSector,Energy,mitigationSector
hostSector,Industrial Processes and Product Use,mitigationSector
hostSector,Agriculture Forestry and Other Land Use,mitigationSector
hostSector,Waste,mitigationSector
Energy,Energy Industries,mitigationSector
Energy,Manufacturing Industries and Construction,mitigationSector
Energy,Transport,mitigationSector
Energy,Other Sectors,mitigationSector
Energy,Non Specified,mitigationSector
Energy,Solid Fuels,mitigationSector
Energy,Oil and Natural Gas,mitigationSector
Energy,Other Emissions from Energy Production,mitigationSector
Energy,Transport of CO2,mitigationSector
Energy,Transport of CO3,mitigationSector
Energy,Transport of CO4,mitigationSector
Energy,Injections and Storage,mitigationSector
Energy,Other Energy,mitigationSector
Industrial Processes and Product Use,Mineral Industry,mitigationSector
Industrial Processes and Product Use,Chemical Industry,mitigationSector
Industrial Processes and Product Use,Metal Industry,mitigationSector
Industrial Processes and Product Use,Non Energy Products from Fuels and Solvent Use,mitigationSector
Industrial Processes and Product Use,Electronics Industry,mitigationSector
Industrial Processes and Product Use,Product Uses as Substitutes for Ozone Depleting Substances,mitigationSector
Industrial Processes and Product Use,Other Product Manufacture and Use,mitigationSector
Industrial Processes and Product Use,Other Industrial Processess,mitigationSector
Agriculture Forestry and Other Land Use,Agriculture,mitigationSector
Agriculture Forestry and Other Land Use,Conservation,mitigationSector
Agriculture Forestry and Other Land Use,Fisheries,mitigationSector
Agriculture Forestry and Other Land Use,Forestry,mitigationSector
Agriculture Forestry and Other Land Use,Other,mitigationSector
Waste,Solid Waste Disposal,mitigationSector
Waste,Wastewater Treatment and Discharge,mitigationSector
Waste,Other,mitigationSector
Energy Industries,Main Activity Electricity and Heat Production,mitigationSector
Energy Industries,Petroleum Refinery,mitigationSector
Energy Industries,Manufacture of Solid Fuels & Other Energy Industries,mitigationSector
Manufacturing Industries and Construction,Iron & Steel,mitigationSector
Manufacturing Industries and Construction,Non-Ferrous Metals,mitigationSector
Manufacturing Industries and Construction,Chemicals,mitigationSector
Manufacturing Industries and Construction,"Pulp, Paper & Print",mitigationSector
Manufacturing Industries and Construction,"Food Processing, Beverages & Tobacco",mitigationSector
Manufacturing Industries and Construction,Non-Metallic Minerals,mitigationSector
Manufacturing Industries and Construction,Transport Equipment,mitigationSector
Manufacturing Industries and Construction,Machinery,mitigationSector
Manufacturing Industries and Construction,Mining (excluding fuels) and Quarrying,mitigationSector
Manufacturing Industries and Construction,Wood and Wood Products,mitigationSector
Manufacturing Industries and Construction,Construction,mitigationSector
Manufacturing Industries and Construction,Textiles & Leather,mitigationSector
Manufacturing Industries and Construction,Non-specified Industry,mitigationSector
Transport,Civil Aviation,mitigationSector
Transport,Road Transportation,mitigationSector
Transport,Railways,mitigationSector
Transport,Water-borne Navigation,mitigationSector
Transport,Other Transportation,mitigationSector
Other Sectors,Commercial/institutional,mitigationSector
Other Sectors,Residential,mitigationSector
Other Sectors,Agriculture/Forestry/Fishing/Fish Farms,mitigationSector
Non Specified,Stationary,mitigationSector
Non Specified,Mobile,mitigationSector
Non Specified,Multilateral Operations,mitigationSector
Solid Fuels,Coal Mining and Handling,mitigationSector
Solid Fuels,Spontaneous Combustion and Burning Coal Dumps,mitigationSector
Oil and Natural Gas,Oil,mitigationSector
Oil and Natural Gas,Venting,mitigationSector
Oil and Natural Gas,Flaring,mitigationSector
Oil and Natural Gas,All other,mitigationSector
Oil and Natural Gas,Natural Gas,mitigationSector
Transport of CO2,Pipelines,mitigationSector
Transport of CO3,Ships,mitigationSector
Transport of CO4,Others,mitigationSector
Injections and Storage,Injection,mitigationSector
Injections and Storage,Storage,mitigationSector
Mineral Industry,Cement production,mitigationSector
Mineral Industry,Lime Production,mitigationSector
Mineral Industry,Glass Production,mitigationSector
Mineral Industry,Other Process Uses of Carbonates,mitigationSector
