parent,term,tree
,hostSector,mitigationSectors
hostSector,Energy,mitigationSectors
hostSector,Industrial Processes and Product Use,mitigationSectors
hostSector,Agriculture Forestry and Other Land Use,mitigationSectors
hostSector,Waste,mitigationSectors
Energy,Energy Industries,mitigationSectors
Energy,Manufacturing Industries and Construction,mitigationSectors
Energy,Transport,mitigationSectors
Energy,Other Sectors,mitigationSectors
Energy,Non Specified,mitigationSectors
Energy,Solid Fuels,mitigationSectors
Energy,Oil and Natural Gas,mitigationSectors
Energy,Other Emissions from Energy Production,mitigationSectors
Energy,Transport of CO2,mitigationSectors
Energy,Transport of CO3,mitigationSectors
Energy,Transport of CO4,mitigationSectors
Energy,Injections and Storage,mitigationSectors
Energy,Other Energy,mitigationSectors
Industrial Processes and Product Use,Mineral Industry,mitigationSectors
Industrial Processes and Product Use,Chemical Industry,mitigationSectors
Industrial Processes and Product Use,Metal Industry,mitigationSectors
Industrial Processes and Product Use,Non Energy Products from Fuels and Solvent Use,mitigationSectors
Industrial Processes and Product Use,Electronics Industry,mitigationSectors
Industrial Processes and Product Use,Product Uses as Substitutes for Ozone Depleting Substances,mitigationSectors
Industrial Processes and Product Use,Other Product Manufacture and Use,mitigationSectors
Industrial Processes and Product Use,Other Industrial Processess,mitigationSectors
Agriculture Forestry and Other Land Use,Agriculture,mitigationSectors
Agriculture Forestry and Other Land Use,Conservation,mitigationSectors
Agriculture Forestry and Other Land Use,Fisheries,mitigationSectors
Agriculture Forestry and Other Land Use,Forestry,mitigationSectors
Agriculture Forestry and Other Land Use,Other,mitigationSectors
Waste,Solid Waste Disposal,mitigationSectors
Waste,Wastewater Treatment and Discharge,mitigationSectors
Waste,Other,mitigationSectors
Energy Industries,Main Activity Electricity and Heat Production,mitigationSectors
Energy Industries,Petroleum Refinery,mitigationSectors
Energy Industries,Manufacture of Solid Fuels & Other Energy Industries,mitigationSectors
Manufacturing Industries and Construction,Iron & Steel,mitigationSectors
Manufacturing Industries and Construction,Non-Ferrous Metals,mitigationSectors
Manufacturing Industries and Construction,Chemicals,mitigationSectors
Manufacturing Industries and Construction,"Pulp, Paper & Print",mitigationSectors
Manufacturing Industries and Construction,"Food Processing, Beverages & Tobacco",mitigationSectors
Manufacturing Industries and Construction,Non-Metallic Minerals,mitigationSectors
Manufacturing Industries and Construction,Transport Equipment,mitigationSectors
Manufacturing Industries and Construction,Machinery,mitigationSectors
Manufacturing Industries and Construction,Mining (excluding fuels) and Quarrying,mitigationSectors
Manufacturing Industries and Construction,Wood and Wood Products,mitigationSectors
Manufacturing Industries and Construction,Construction,mitigationSectors
Manufacturing Industries and Construction,Textiles & Leather,mitigationSectors
Manufacturing Industries and Construction,Non-specified Industry,mitigationSectors
Transport,Civil Aviation,mitigationSectors
Transport,Road Transportation,mitigationSectors
Transport,Railways,mitigationSectors
Transport,Water-borne Navigation,mitigationSectors
Transport,Other Transportation,mitigationSectors
Other Sectors,Commercial/institutional,mitigationSectors
Other Sectors,Residential,mitigationSectors
Other Sectors,Agriculture/Forestry/Fishing/Fish Farms,mitigationSectors
Non Specified,Stationary,mitigationSectors
Non Specified,Mobile,mitigationSectors
Non Specified,Multilateral Operations,mitigationSectors
Solid Fuels,Coal Mining and Handling,mitigationSectors
Solid Fuels,Spontaneous Combustion and Burning Coal Dumps,mitigationSectors
Oil and Natural Gas,Oil,mitigationSectors
Oil and Natural Gas,Venting,mitigationSectors
Oil and Natural Gas,Flaring,mitigationSectors
Oil and Natural Gas,All other,mitigationSectors
Oil and Natural Gas,Natural Gas,mitigationSectors
Transport of CO2,Pipelines,mitigationSectors
Transport of CO3,Ships,mitigationSectors
Transport of CO4,Others,mitigationSectors
Injections and Storage,Injection,mitigationSectors
Injections and Storage,Storage,mitigationSectors
Mineral Industry,Cement production,mitigationSectors
Mineral Industry,Lime Production,mitigationSectors
Mineral Industry,Glass Production,mitigationSectors
Mineral Industry,Other Process Uses of Carbonates,mitigationSectors
Mineral Industry,Other ,mitigationSectors
Chemical Industry,Ammonia production,mitigationSectors
Chemical Industry,Nitric Acid Production,mitigationSectors
