parent,term,tree
,typeOfProject,mitigationType
typeOfProject,Afforestation,mitigationType
typeOfProject,Agriculture,mitigationType
typeOfProject,Biomass Energy,mitigationType
typeOfProject,Biogas,mitigationType
typeOfProject,Cement,mitigationType
typeOfProject,Coal Bed Mine Methane,mitigationType
typeOfProject,EE Households,mitigationType
typeOfProject,EE Industry,mitigationType
typeOfProject,EE Own Generation,mitigationType
typeOfProject,EE Service,mitigationType
typeOfProject,EE Supply Side,mitigationType
typeOfProject,Energy Distribution,mitigationType
typeOfProject,Fossil Fuel Switch,mitigationType
typeOfProject,Fugitive Gases,mitigationType
typeOfProject,Geothermal,mitigationType
typeOfProject,HFCs,mitigationType
typeOfProject,Hydro,mitigationType
typeOfProject,Landfill Gas,mitigationType
typeOfProject,N2O,mitigationType
typeOfProject,PFCs,mitigationType
typeOfProject,Reforestation,mitigationType
typeOfProject,Solar,mitigationType
typeOfProject,Tidal,mitigationType
typeOfProject,Transport,mitigationType
typeOfProject,Wind,mitigationType
Biogas,Biogas Flaring,mitigationType
Biogas,Biogas Power,mitigationType
Biomass Energy,Agricultural residues: Mustard crop,mitigationType
Biomass Energy,Agricultural Residues: Other Kinds,mitigationType
Biomass Energy,Agricultural Residues: Poultry Litter,mitigationType
Biomass Energy,Agricultural Residues: Rice Husk,mitigationType
Biomass Energy,Bagasse Power,mitigationType
Biomass Energy,Biodiesel,mitigationType
Biomass Energy,Black Liquor,mitigationType
Biomass Energy,Ethanol,mitigationType
Biomass Energy,Forest Biomass,mitigationType
Biomass Energy,Forest Residues: Other,mitigationType
Biomass Energy,Forest Residues: Sawmill Waste,mitigationType
Biomass Energy,Gasification of Biomass,mitigationType
Biomass Energy,Industrial Waste,mitigationType
Biomass Energy,Irrigation,mitigationType
Biomass Energy,Palm Oil Solid Waste,mitigationType
Coal Bed Mine Methane,Coal Mine Methane,mitigationType
EE Industry,Building Materials,mitigationType
EE Industry,Cement,mitigationType
EE Industry,Chemicals,mitigationType
EE Industry,Coke Oven,mitigationType
EE Industry,Construction,mitigationType
EE Industry,Electronics,mitigationType
EE Industry,Food,mitigationType
EE Industry,Glass,mitigationType
EE Industry,Iron & Steel,mitigationType
EE Industry,Machinery,mitigationType
EE Industry,Metal products,mitigationType
EE Industry,Mining,mitigationType
EE Industry,Non-Ferrous Metals,mitigationType
EE Industry,Paper,mitigationType
EE Industry,Petrochemicals,mitigationType
EE Industry,Textiles,mitigationType
EE Industry,Wood,mitigationType
Hydro,Existing Dam,mitigationType
Hydro,New Dam,mitigationType
Hydro,Run of River,mitigationType
Landfill Gas,Combustion for MSW,mitigationType
Landfill Gas,Composting,mitigationType
Landfill Gas,Gasification of MSW,mitigationType
Landfill Gas,Landfill Flaring,mitigationType
Landfill Gas,Landfill Power,mitigationType
N2O,Adipic Acid,mitigationType
N2O,Caprolactam,mitigationType
N2O,Nitric Acid,mitigationType
Solar,Solar Coking,mitigationType
Solar,Solar PV,mitigationType
Solar,Solar Water Heating,mitigationType
