parent,term,tree
,typeOfProject,mitigationTypes
typeOfProject,Afforestation,mitigationTypes
typeOfProject,Agriculture,mitigationTypes
typeOfProject,Biomass Energy,mitigationTypes
typeOfProject,Biogas,mitigationTypes
typeOfProject,Cement,mitigationTypes
typeOfProject,Coal Bed Mine Methane,mitigationTypes
typeOfProject,EE Households,mitigationTypes
typeOfProject,EE Industry,mitigationTypes
typeOfProject,EE Own Generation,mitigationTypes
typeOfProject,EE Service,mitigationTypes
typeOfProject,EE Supply Side,mitigationTypes
typeOfProject,Energy Distribution,mitigationTypes
typeOfProject,Fossil Fuel Switch,mitigationTypes
typeOfProject,Fugitive Gases,mitigationTypes
typeOfProject,Geothermal,mitigationTypes
typeOfProject,HFCs,mitigationTypes
typeOfProject,Hydro,mitigationTypes
typeOfProject,Landfill Gas,mitigationTypes
typeOfProject,N2O,mitigationTypes
typeOfProject,PFCs,mitigationTypes
typeOfProject,Reforestation,mitigationTypes
typeOfProject,Solar,mitigationTypes
typeOfProject,Tidal,mitigationTypes
typeOfProject,Transport,mitigationTypes
typeOfProject,Wind,mitigationTypes
Biogas,Biogas Flaring,mitigationTypes
Biogas,Biogas Power,mitigationTypes
Biomass Energy,Agricultural residues: Mustard crop,mitigationTypes
Biomass Energy,Agricultural Residues: Other Kinds,mitigationTypes
Biomass Energy,Agricultural Residues: Poultry Litter,mitigationTypes
Biomass Energy,Agricultural Residues: Rice Husk,mitigationTypes
Biomass Energy,Bagasse Power,mitigationTypes
Biomass Energy,Biodiesel,mitigationTypes
Biomass Energy,Black Liquor,mitigationTypes
Biomass Energy,Ethanol,mitigationTypes
Biomass Energy,Forest Biomass,mitigationTypes
Biomass Energy,Forest Residues: Other,mitigationTypes
Biomass Energy,Forest Residues: Sawmill Waste,mitigationTypes
Biomass Energy,Gasification of Biomass,mitigationTypes
Biomass Energy,Industrial Waste,mitigationTypes
Biomass Energy,Irrigation,mitigationTypes
Biomass Energy,Palm Oil Solid Waste,mitigationTypes
Coal Bed Mine Methane,Coal Mine Methane,mitigationTypes
EE Industry,Building Materials,mitigationTypes
EE Industry,Cement,mitigationTypes
EE Industry,Chemicals,mitigationTypes
EE Industry,Coke Oven,mitigationTypes
EE Industry,Construction,mitigationTypes
EE Industry,Electronics,mitigationTypes
EE Industry,Food,mitigationTypes
EE Industry,Glass,mitigationTypes
EE Industry,Iron & Steel,mitigationTypes
EE Industry,Machinery,mitigationTypes
EE Industry,Metal products,mitigationTypes
EE Industry,Mining,mitigationTypes
EE Industry,Non-Ferrous Metals,mitigationTypes
EE Industry,Paper,mitigationTypes
EE Industry,Petrochemicals,mitigationTypes
EE Industry,Textiles,mitigationTypes
EE Industry,Wood,mitigationTypes
Hydro,Existing Dam,mitigationTypes
Hydro,New Dam,mitigationTypes
Hydro,Run of River,mitigationTypes
Landfill Gas,Combustion for MSW,mitigationTypes
Landfill Gas,Composting,mitigationTypes
Landfill Gas,Gasification of MSW,mitigationTypes
Landfill Gas,Landfill Flaring,mitigationTypes
Landfill Gas,Landfill Power,mitigationTypes
N2O,Adipic Acid,mitigationTypes
N2O,Caprolactam,mitigationTypes
N2O,Nitric Acid,mitigationTypes
Solar,Solar Coking,mitigationTypes
Solar,Solar PV,mitigationTypes
Solar,Solar Water Heating,mitigationTypes
