parent,term,tree
,South Africa,sa-districts
South Africa,Eastern Cape,sa-districts
South Africa,Free State,sa-districts
South Africa,Gauteng,sa-districts
South Africa,KwaZulu-Natal,sa-districts
South Africa,Limpopo,sa-districts
South Africa,Mpumalanga,sa-districts
South Africa,North West,sa-districts
South Africa,Northern Cape,sa-districts
South Africa,Western Cape,sa-districts
Eastern Cape,Alfred Nzo District Municipality,sa-districts
Eastern Cape,Amathole District Municipality,sa-districts
Eastern Cape,Buffalo City Metropolitan Municipality,sa-districts
Eastern Cape,Chris Hani District Municipality,sa-districts
Eastern Cape,Joe Gqabi District Municipality,sa-districts
Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,sa-districts
Eastern Cape,OR Tambo District Municipality,sa-districts
Eastern Cape,Sarah Baartman District Municipality,sa-districts
Free State,Fezile Dabi District Municipality,sa-districts
Free State,Lejweleputswa District Municipality,sa-districts
Free State,Mangaung Metropolitan Municipality,sa-districts
Free State,Thabo Mofutsanyana District Municipality,sa-districts
Free State,Xhariep District Municipality,sa-districts
Gauteng,City of Johannesburg Metropolitan Municipality,sa-districts
Gauteng,City of Tshwane Metropolitan Municipality,sa-districts
Gauteng,Ekurhuleni Metropolitan Municipality,sa-districts
Gauteng,Sedibeng District Municipality,sa-districts
Gauteng,West Rand District Municipality,sa-districts
KwaZulu-Natal,Amajuba District Municipality,sa-districts
KwaZulu-Natal,eThekwini Metropolitan Municipality,sa-districts
KwaZulu-Natal,Harry Gwala District Municipality,sa-districts
KwaZulu-Natal,iLembe District Municipality,sa-districts
KwaZulu-Natal,King Cetshwayo District Municipality,sa-districts
KwaZulu-Natal,Ugu District Municipality,sa-districts
KwaZulu-Natal,uMgungundlovu District Municipality,sa-districts
KwaZulu-Natal,uMkhanyakude District Municipality,sa-districts
KwaZulu-Natal,uMzinyathi District Municipality,sa-districts
KwaZulu-Natal,uThukela District Municipality,sa-districts
KwaZulu-Natal,Zululand District Municipality,sa-districts
Limpopo,Capricorn District Municipality,sa-districts
Limpopo,Mopani District Municipality,sa-districts
Limpopo,Sekhukhune District Municipality,sa-districts
Limpopo,Vhembe District Municipality,sa-districts
Limpopo,Waterberg District Municipality,sa-districts
Mpumalanga,Ehlanzeni District Municipality,sa-districts
Mpumalanga,Gert Sibande District Municipality,sa-districts
Mpumalanga,Nkangala District Municipality,sa-districts
North West,Bojanala Platinum District Municipality,sa-districts
North West,Dr Kenneth Kaunda District Municipality,sa-districts
North West,Dr Ruth Segomotsi Mompati District Municipality,sa-districts
North West,Ngaka Modiri Molema District Municipality,sa-districts
Northern Cape,Frances Baard District Municipality,sa-districts
Northern Cape,John Taolo Gaetsewe District Municipality,sa-districts
Northern Cape,Namakwa District Municipality,sa-districts
Northern Cape,Pixley ka Seme District Municipality,sa-districts
Northern Cape,ZF Mgcawu District Municipality,sa-districts
Western Cape,Cape Winelands District Municipality,sa-districts
Western Cape,Central Karoo District Municipality,sa-districts
Western Cape,City of Cape Town Metropolitan Municipality,sa-districts
Western Cape,Garden Route District Municipality,sa-districts
Western Cape,Overberg District Municipality,sa-districts
Western Cape,West Coast District Municipality,sa-districts
,South Africa,sa-provinces
South Africa,Eastern Cape,sa-provinces
South Africa,Free State,sa-provinces
South Africa,Gauteng,sa-provinces
South Africa,KwaZulu-Natal,sa-provinces
South Africa,Limpopo,sa-provinces
South Africa,Mpumalanga,sa-provinces
South Africa,North West,sa-provinces
South Africa,Northern Cape,sa-provinces
South Africa,Western Cape,sa-provinces
