role,permission
sysadmin,download-all-submissions
sysadmin,download-submission
sysadmin,attach-file-to-submission
sysadmin,kill-server
sysadmin,view-submission-templates
sysadmin,validate-submission
sysadmin,upload-template
sysadmin,seed-database
sysadmin,migrate-database
sysadmin,change-submission-owner
sysadmin,create-submission
sysadmin,delete-submission
sysadmin,update-submission
sysadmin,update-users
sysadmin,view-users
sysadmin,assign-role
sysadmin,assign-permission
sysadmin,view-permissions
sysadmin,view-roles
sysadmin,view-/access
sysadmin,view-/deployments
admin,download-all-submissions
admin,download-submission
admin,attach-file-to-submission
admin,view-submission-templates
admin,validate-submission
admin,upload-template
admin,change-submission-owner
admin,create-submission
admin,delete-submission
admin,update-submission
admin,update-users
admin,view-users
admin,assign-role
admin,assign-permission
admin,view-permissions
admin,view-roles
admin,view-/access
admin,view-/deployments
dffe,validate-submission
dffe,download-all-submissions
dffe,download-submission
dffe,attach-file-to-submission
dffe,create-submission
dffe,update-submission
public,attach-file-to-submission
public,create-submission
public,download-submission
