parent,term,tree
,Programme,mitigationProgramme
Programme,"The Energy Efficiency Target Monitoring System",mitigationProgramme
Programme,"1A1 12L energy efficiency",mitigationProgramme
Programme,"1A1 Appliance Labelling",mitigationProgramme
Programme,"1A1 Eskom IDM",mitigationProgramme
Programme,"1A1 Municipal EE programme",mitigationProgramme
Programme,"1A1 Landfill gas to energy",mitigationProgramme
Programme,"1A1 NCPC IEE projects",mitigationProgramme
Programme,"1A1 Private sector: embedded solar PV",mitigationProgramme
Programme,"1A1 PSEE",mitigationProgramme
Programme,"1A1 REIPPP",mitigationProgramme
Programme,"1A2 Switch to natural gas",mitigationProgramme
Programme,"1A3 EV use",mitigationProgramme
Programme,"1A3 BRT Systems",mitigationProgramme
Programme,"1A3 Transnet Road to Rail",mitigationProgramme
Programme,"2 Nitrous Oxide Reductions",mitigationProgramme
Programme,"3B Afforestation",mitigationProgramme
Programme,"3B Grassland rehabilitation",mitigationProgramme
Programme,"4A National Waste Management",mitigationProgramme
