parent,term,tree,code
,South Africa,regions,ZA
South Africa,National,regions,ZA
South Africa,Eastern Cape,regions,EC
South Africa,Free State,regions,FS
South Africa,Gauteng,regions,GT
South Africa,KwaZulu-Natal,regions,KZN
South Africa,Limpopo,regions,LIM
South Africa,Mpumalanga,regions,MP
South Africa,North West,regions,NW
South Africa,Northern Cape,regions,NC
South Africa,Western Cape,regions,WC
Western Cape,Cape Winelands District Municipality (DC2),regions,DC2
Western Cape,Central Karoo District Municipality (DC5),regions,DC5
Western Cape,City of Cape Town (CPT),regions,CPT
Western Cape,Eden District Municipality (DC4),regions,DC4
Western Cape,Overberg District Municipality (DC3),regions,DC3
Western Cape,West Coast District Municipality (DC1),regions,DC1
Eastern Cape,Alfred Nzo District Municipality (DC44),regions,DC44
Eastern Cape,Amathole District Municipality (DC12),regions,DC12
Eastern Cape,Buffalo City (BUF),regions,BUF
Eastern Cape,Cacadu District Municipality (DC10),regions,DC10
Eastern Cape,Chris Hani District Municipality (DC13),regions,DC13
Eastern Cape,Joe Gqabi District Municipality (DC14),regions,DC14
Eastern Cape,Nelson Mandela Bay (NMA),regions,NMA
Eastern Cape,O.R.Tambo District Municipality (DC15),regions,DC15
Northern Cape,Frances Baard District Municipality (DC9),regions,DC9
Northern Cape,John Taolo Gaetsewe District Municipality (DC45),regions,DC45
Northern Cape,Namakwa District Municipality (DC6),regions,DC6
Northern Cape,Pixley ka Seme District Municipality (DC7),regions,DC7
Northern Cape,Z F Mgcawu District Municipality (DC8),regions,DC8
Free State,Fezile Dabi District Municipality (DC20),regions,DC20
Free State,Lejweleputswa District Municipality (DC18),regions,DC18
Free State,Mangaung (MAN),regions,MAN
Free State,Thabo Mofutsanyane District Municipality (DC19),regions,DC19
Free State,Xhariep District Municipality (DC16),regions,DC16
KwaZulu-Natal,Amajuba District Municipality (DC25),regions,DC25
KwaZulu-Natal,eThekwini (ETH),regions,ETH
KwaZulu-Natal,Harry Gwala District Municipality (DC43),regions,DC43
KwaZulu-Natal,iLembe District Municipality (DC29),regions,DC29
KwaZulu-Natal,Ugu District Municipality (DC21),regions,DC21
KwaZulu-Natal,Umgungundlovu District Municipality (DC22),regions,DC22
KwaZulu-Natal,Umkhanyakude District Municipality (DC27),regions,DC27
KwaZulu-Natal,Umzinyathi District Municipality (DC24),regions,DC24
KwaZulu-Natal,Uthukela District Municipality (DC23),regions,DC23
KwaZulu-Natal,Uthungulu District Municipality (DC28),regions,DC28
KwaZulu-Natal,Zululand District Municipality (DC26),regions,DC26
North West,Bojanala District Municipality (DC37),regions,DC37
North West,Dr Kenneth Kaunda District Municipality (DC40),regions,DC40
North West,Dr Ruth Segomotsi Mompati District Municipality (DC39),regions,DC39
North West,Ngaka Modiri Molema District Municipality (DC38),regions,DC38
Gauteng,City of Johannesburg (JHB),regions,JHB
Gauteng,City of Tshwane (TSH),regions,TSH
Gauteng,Ekurhuleni (EKU),regions,EKU
Gauteng,Sedibeng District Municipality (DC42),regions,DC42
Gauteng,West Rand District Municipality (DC48),regions,DC48
Mpumalanga,Ehlanzeni District Municipality (DC32),regions,DC32
Mpumalanga,Gert Sibande District Municipality (DC30),regions,DC30
Mpumalanga,Nkangala District Municipality (DC31),regions,DC31
